file,model,agent_type,reassurance_type,sequence,mean_abs_confidence_change,early_confidence_gain,accuracy,toc_turn
2026-04-17T22-14-08__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,9.25,10.0,1.0,5
2026-04-17T22-14-31__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep2.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,7.4,10.0,1.0,6
2026-04-17T22-14-56__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep3.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,8.4,10.0,1.0,6
2026-04-17T22-15-16__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep4.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,10.0,10.0,1.0,5
2026-04-17T22-15-37__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,10.0,10.0,1.0,5
2026-04-17T22-15-58__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,9.25,10.0,1.0,5
2026-04-17T22-16-18__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep7.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,9.25,10.0,1.0,5
2026-04-17T22-16-40__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,10.0,10.0,1.0,5
2026-04-17T22-17-05__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep9.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,8.4,10.0,1.0,6
2026-04-17T22-17-31__anthropic_claude_opus_4_6__jtc__calibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_1,8.4,10.0,1.0,6
2026-04-17T22-17-56__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep1.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,9.4,10.0,1.0,6
2026-04-17T22-18-19__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep2.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,11.6,15.0,1.0,6
2026-04-17T22-18-45__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep3.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,9.4,10.0,1.0,6
2026-04-17T22-19-10__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,9.4,10.0,1.0,6
2026-04-17T22-19-42__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,9.4,10.0,1.0,6
2026-04-17T22-20-05__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep6.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,9.4,10.0,1.0,6
2026-04-17T22-20-29__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep7.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,9.4,10.0,1.0,6
2026-04-17T22-20-55__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,9.4,10.0,1.0,6
2026-04-17T22-21-20__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,10.2,17.0,1.0,6
2026-04-17T22-21-46__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep10.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,8.6,10.0,1.0,6
2026-04-17T22-22-07__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,9.4,10.0,1.0,6
2026-04-17T22-22-36__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep2.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,10.6,15.0,1.0,6
2026-04-17T22-22-59__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep3.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,9.4,15.0,1.0,6
2026-04-17T22-23-24__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep4.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,8.6,10.0,1.0,6
2026-04-17T22-23-47__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,8.0,10.0,1.0,6
2026-04-17T22-24-11__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,9.0,10.0,1.0,6
2026-04-17T22-24-33__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep7.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,9.0,10.0,1.0,6
2026-04-17T22-24-56__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,8.6,10.0,1.0,6
2026-04-17T22-25-18__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep9.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,10.6,15.0,1.0,6
2026-04-17T22-25-42__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_1,8.6,10.0,1.0,6
2026-04-17T22-26-06__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep1.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,11.25,20.0,1.0,6
2026-04-17T22-26-30__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep2.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,9.0,15.0,1.0,6
2026-04-17T22-26-57__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep3.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,11.0,20.0,1.0,6
2026-04-17T22-27-22__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,8.2,17.0,1.0,6
2026-04-17T22-27-47__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,8.8,17.0,1.0,6
2026-04-17T22-28-12__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep6.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,10.0,20.0,1.0,6
2026-04-17T22-28-36__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep7.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,8.6,15.0,1.0,6
2026-04-17T22-28-58__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,9.0,15.0,1.0,6
2026-04-17T22-29-21__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,8.2,17.0,1.0,6
2026-04-17T22-29-45__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep10.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,10.0,20.0,,6
2026-04-17T22-30-10__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,11.0,10.0,1.0,6
2026-04-17T22-30-37__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep2.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,10.6,10.0,1.0,6
2026-04-17T22-31-01__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep3.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,10.0,10.0,1.0,6
2026-04-17T22-31-28__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep4.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,12.0,10.0,1.0,6
2026-04-17T22-31-52__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,10.0,10.0,1.0,6
2026-04-17T22-32-17__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,7.0,-5.0,1.0,6
2026-04-17T22-32-42__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep7.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,10.0,10.0,1.0,6
2026-04-17T22-33-14__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,11.4,10.0,1.0,6
2026-04-17T22-33-39__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep9.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,11.0,10.0,1.0,6
2026-04-17T22-34-03__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_1,12.0,10.0,1.0,6
2026-04-17T22-34-28__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep1.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,11.0,5.0,1.0,6
2026-04-17T22-34-52__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep2.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,11.4,10.0,1.0,6
2026-04-17T22-35-16__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep3.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,11.4,10.0,1.0,6
2026-04-17T22-35-41__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,9.4,5.0,1.0,6
2026-04-17T22-36-06__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,11.4,10.0,1.0,6
2026-04-17T22-36-31__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep6.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,9.4,5.0,1.0,6
2026-04-17T22-36-54__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep7.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,11.4,10.0,1.0,6
2026-04-17T22-37-18__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,11.0,10.0,1.0,6
2026-04-17T22-37-42__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,11.4,10.0,1.0,6
2026-04-17T22-38-08__anthropic_claude_opus_4_6__nonjtc__calibrated__sequence_2__rep10.json,anthropic/claude-opus-4.6,nonjtc,calibrated,sequence_2,11.4,10.0,1.0,6
2026-04-17T22-38-34__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep1.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,10.0,10.0,1.0,6
2026-04-17T22-39-02__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep2.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,10.0,10.0,1.0,6
2026-04-17T22-39-27__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep3.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,9.4,15.0,1.0,6
2026-04-17T22-39-54__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep4.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,9.0,10.0,1.0,6
2026-04-17T22-40-17__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep5.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,10.0,10.0,1.0,6
2026-04-17T22-40-44__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep6.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,9.0,10.0,1.0,6
2026-04-17T22-41-09__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep7.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,10.0,10.0,1.0,6
2026-04-17T22-41-34__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep8.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,8.6,10.0,1.0,6
2026-04-17T22-41-58__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep9.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,10.0,10.0,1.0,6
2026-04-17T22-42-22__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_1__rep10.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_1,9.0,10.0,1.0,6
2026-04-17T22-42-47__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep1.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,10.0,10.0,1.0,6
2026-04-17T22-43-10__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep2.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,12.6,30.0,1.0,6
2026-04-17T22-43-36__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep3.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,11.4,30.0,1.0,6
2026-04-17T22-44-01__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep4.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,9.6,20.0,1.0,6
2026-04-17T22-44-30__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep5.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,11.4,10.0,1.0,6
2026-04-17T22-44-54__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep6.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,8.6,15.0,1.0,6
2026-04-17T22-45-18__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep7.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,9.8,20.0,1.0,6
2026-04-17T22-45-41__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,10.2,20.0,1.0,6
2026-04-17T22-46-04__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep9.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,10.6,10.0,1.0,6
2026-04-17T22-46-28__anthropic_claude_opus_4_6__nonjtc__miscalibrated__sequence_2__rep10.json,anthropic/claude-opus-4.6,nonjtc,miscalibrated,sequence_2,10.6,10.0,1.0,6
2026-04-17T22-46-45__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep1.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,12.5,15.0,1.0,3
2026-04-17T22-47-12__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep2.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,8.75,5.0,1.0,5
2026-04-17T22-47-35__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep3.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,8.75,5.0,1.0,5
2026-04-17T22-47-57__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep4.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,21.25,30.0,1.0,5
2026-04-17T22-48-19__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep5.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,11.666666666666666,10.0,1.0,4
2026-04-17T22-48-37__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep6.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,7.5,5.0,1.0,5
2026-04-17T22-48-58__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep7.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,11.25,10.0,1.0,5
2026-04-17T22-49-10__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep8.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,15.0,20.0,1.0,3
2026-04-17T22-49-34__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep9.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,16.25,20.0,1.0,5
2026-04-17T22-49-58__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep10.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,8.75,10.0,1.0,5
2026-04-17T22-50-28__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep1.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,17.0,40.0,1.0,6
2026-04-17T22-50-54__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep2.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,5.0,5.0,1.0,6
2026-04-17T22-51-26__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep3.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,17.0,35.0,1.0,6
2026-04-17T22-51-54__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep4.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,13.0,25.0,1.0,6
2026-04-17T22-52-22__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep5.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,13.0,15.0,1.0,6
2026-04-17T22-52-54__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep6.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,13.0,20.0,1.0,6
2026-04-17T22-53-27__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep7.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,13.0,25.0,1.0,6
2026-04-17T22-53-58__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep8.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,13.0,30.0,,6
2026-04-17T22-54-30__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep9.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,10.0,15.0,1.0,6
2026-04-17T22-54-56__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep10.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,5.0,5.0,1.0,6
2026-04-17T22-55-23__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep1.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,13.0,15.0,1.0,6
2026-04-17T22-55-57__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep2.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,9.0,15.0,1.0,6
2026-04-17T22-56-19__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep3.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,15.0,20.0,1.0,5
2026-04-17T22-56-49__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep4.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,13.0,10.0,1.0,6
2026-04-17T22-57-16__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep5.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,5.0,0.0,1.0,6
2026-04-17T22-57-42__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep6.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,15.0,15.0,1.0,5
2026-04-17T22-58-09__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep7.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,11.0,25.0,,6
2026-04-17T22-58-41__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep8.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,9.0,15.0,1.0,6
2026-04-17T22-59-08__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep9.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,11.0,15.0,1.0,6
2026-04-17T22-59-31__x_ai_grok_4_fast__jtc__miscalibrated__sequence_1__rep10.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_1,7.5,5.0,1.0,5
2026-04-17T23-00-01__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep1.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,8.75,10.0,1.0,5
2026-04-17T23-00-29__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep2.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,20.0,30.0,1.0,5
2026-04-17T23-00-55__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep3.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,7.0,10.0,1.0,6
2026-04-17T23-01-16__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep4.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,8.75,0.0,1.0,5
