file,agent_type,reassurance_type,reassurance_delivery_style,sequence_file,toc_turn,evidence_requests,accuracy,final_confidence,mean_abs_confidence_change,max_abs_confidence_jump,sd_confidence,confidence_delta_turn_1_to_2,confidence_range,n_confidence_points,condition
2026-05-27T09-05-36__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_2__rep2.json,nonjtc,miscalibrated,process_focused,sequence_2.json,4,3,1,84,22.0,34.0,30.397368307141328,12.0,66.0,4,nonjtc / miscalibrated / process_focused
2026-05-27T10-00-31__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep9.json,nonjtc,miscalibrated,confidence_focused,sequence_1.json,5,4,1,86,17.0,32.0,29.072323608545638,10.0,68.0,5,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-17-32__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_2__rep5.json,jtc,calibrated,warm_supportive,sequence_2.json,3,2,1,83,12.5,19.0,13.051181300301263,6.0,25.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-41-03__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep7.json,nonjtc,calibrated,warm_supportive,sequence_1.json,4,3,1,86,22.666666666666668,38.0,32.22318006239194,6.0,68.0,4,nonjtc / calibrated / warm_supportive
2026-05-27T08-32-32__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep4.json,jtc,miscalibrated,confidence_focused,sequence_1.json,3,2,1,88,15.0,18.0,15.0996688705415,18.0,30.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T09-01-56__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep5.json,nonjtc,miscalibrated,warm_supportive,sequence_2.json,5,4,1,86,17.0,34.0,30.44339008717656,6.0,68.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-38-44__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep7.json,nonjtc,calibrated,brief_naturalistic,sequence_2.json,5,4,1,84,16.5,22.0,28.178005607210743,6.0,66.0,5,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-19-21__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep8.json,jtc,calibrated,process_focused,sequence_1.json,3,2,1,82,18.0,30.0,15.874507866387544,-6.0,30.0,3,jtc / calibrated / process_focused
2026-05-27T08-35-06__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_1__rep2.json,nonjtc,calibrated,brief_naturalistic,sequence_1.json,4,3,1,83,21.666666666666668,34.0,30.445306151633073,6.0,65.0,4,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-51-45__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep1.json,nonjtc,calibrated,confidence_focused,sequence_2.json,6,5,1,85,13.4,22.0,27.37456240137304,6.0,67.0,6,nonjtc / calibrated / confidence_focused
2026-05-27T08-18-38__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep3.json,jtc,calibrated,process_focused,sequence_1.json,3,2,1,84,13.0,20.0,13.613718571108091,6.0,26.0,3,jtc / calibrated / process_focused
2026-05-27T08-31-31__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_2__rep7.json,jtc,miscalibrated,process_focused,sequence_2.json,3,2,0,84,13.0,18.0,13.316656236958787,18.0,26.0,3,jtc / miscalibrated / process_focused
2026-05-27T08-53-11__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep6.json,nonjtc,calibrated,confidence_focused,sequence_2.json,5,4,1,84,16.5,26.0,28.305476501906835,6.0,66.0,5,nonjtc / calibrated / confidence_focused
2026-05-27T08-20-46__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep8.json,jtc,calibrated,process_focused,sequence_2.json,3,2,1,84,13.0,18.0,13.316656236958787,8.0,26.0,3,jtc / calibrated / process_focused
2026-05-27T08-43-22__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep7.json,nonjtc,calibrated,warm_supportive,sequence_2.json,5,4,1,86,17.0,36.0,30.18608951156145,4.0,68.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-50-14__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep5.json,nonjtc,calibrated,confidence_focused,sequence_1.json,5,4,1,84,16.5,32.0,28.310775333784132,6.0,66.0,5,nonjtc / calibrated / confidence_focused
2026-05-27T08-50-30__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep6.json,nonjtc,calibrated,confidence_focused,sequence_1.json,6,5,1,88,14.0,27.0,28.423581758814283,6.0,70.0,6,nonjtc / calibrated / confidence_focused
2026-05-27T09-00-47__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep10.json,nonjtc,miscalibrated,warm_supportive,sequence_1.json,5,4,1,89,17.75,34.0,31.66701754191575,6.0,71.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-16-48__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep10.json,jtc,calibrated,warm_supportive,sequence_1.json,3,2,1,84,13.0,17.0,13.203534880225574,9.0,26.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-21-24__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep2.json,jtc,calibrated,confidence_focused,sequence_1.json,3,2,1,84,13.0,20.0,13.613718571108091,6.0,26.0,3,jtc / calibrated / confidence_focused
2026-05-27T08-39-31__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep10.json,nonjtc,calibrated,brief_naturalistic,sequence_2.json,5,4,1,83,16.25,25.0,27.725439581727105,4.0,65.0,5,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-44-22__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep1.json,nonjtc,calibrated,process_focused,sequence_1.json,5,4,1,84,16.5,30.0,28.5447017850949,6.0,66.0,5,nonjtc / calibrated / process_focused
2026-05-27T08-13-58__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_1__rep10.json,jtc,calibrated,brief_naturalistic,sequence_1.json,4,3,1,90,14.666666666666666,24.0,17.320508075688775,-6.0,38.0,4,jtc / calibrated / brief_naturalistic
2026-05-27T09-00-04__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep7.json,nonjtc,miscalibrated,warm_supportive,sequence_1.json,4,3,1,83,21.666666666666668,34.0,30.445306151633073,6.0,65.0,4,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-33-47__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep3.json,jtc,miscalibrated,confidence_focused,sequence_2.json,3,2,1,84,13.0,14.0,13.012814197295423,14.0,26.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T08-16-16__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep6.json,jtc,calibrated,warm_supportive,sequence_1.json,3,2,1,84,13.0,22.0,14.0,4.0,26.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-57-16__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_2__rep4.json,nonjtc,miscalibrated,brief_naturalistic,sequence_2.json,5,4,1,86,17.0,30.0,29.17533204609675,10.0,68.0,5,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-42-41__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep4.json,nonjtc,calibrated,warm_supportive,sequence_2.json,5,4,1,87,17.25,34.0,30.72132809629167,6.0,69.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-28-03__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep3.json,jtc,miscalibrated,warm_supportive,sequence_2.json,3,2,1,84,12.0,18.0,12.489995996796797,18.0,24.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-25-08__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep9.json,jtc,miscalibrated,brief_naturalistic,sequence_1.json,3,2,1,86,32.0,46.0,33.005050118630834,46.0,64.0,3,jtc / miscalibrated / brief_naturalistic
2026-05-27T08-30-20__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep8.json,jtc,miscalibrated,process_focused,sequence_1.json,3,2,1,90,16.0,18.0,16.041612554021288,18.0,32.0,3,jtc / miscalibrated / process_focused
2026-05-27T08-19-05__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep6.json,jtc,calibrated,process_focused,sequence_1.json,3,2,1,84,13.0,22.0,14.0,4.0,26.0,3,jtc / calibrated / process_focused
2026-05-27T08-32-40__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep5.json,jtc,miscalibrated,confidence_focused,sequence_1.json,3,2,1,86,14.0,14.0,14.0,14.0,28.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T08-23-41__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep8.json,jtc,calibrated,confidence_focused,sequence_2.json,3,2,1,83,12.5,19.0,13.051181300301263,6.0,25.0,3,jtc / calibrated / confidence_focused
2026-05-27T08-59-53__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep6.json,nonjtc,miscalibrated,warm_supportive,sequence_1.json,5,4,1,84,16.5,26.0,28.305476501906835,6.0,66.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T09-07-01__openai_gpt_5_4__nonjtc__miscalibrated__process_focused__sequence_2__rep9.json,nonjtc,miscalibrated,process_focused,sequence_2.json,4,3,1,84,22.0,31.0,29.837057495671385,14.0,66.0,4,nonjtc / miscalibrated / process_focused
2026-05-27T08-27-16__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep7.json,jtc,miscalibrated,warm_supportive,sequence_1.json,3,2,1,86,14.0,14.0,14.0,14.0,28.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-42-11__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep2.json,nonjtc,calibrated,warm_supportive,sequence_2.json,5,4,1,84,16.5,34.0,29.14103635768639,6.0,66.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-26-42__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_1__rep3.json,jtc,miscalibrated,warm_supportive,sequence_1.json,3,2,1,86,14.0,14.0,14.0,14.0,28.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-33-55__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep4.json,jtc,miscalibrated,confidence_focused,sequence_2.json,3,2,0,84,13.0,14.0,13.012814197295423,14.0,26.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T08-54-36__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep2.json,nonjtc,miscalibrated,brief_naturalistic,sequence_1.json,4,3,1,84,22.0,34.0,30.506829836393468,10.0,66.0,4,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-47-43__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_2__rep5.json,nonjtc,calibrated,process_focused,sequence_2.json,5,4,1,82,16.0,22.0,26.94438717061496,6.0,64.0,5,nonjtc / calibrated / process_focused
2026-05-27T08-44-07__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep10.json,nonjtc,calibrated,warm_supportive,sequence_2.json,5,4,1,88,17.5,34.0,31.003225638633154,6.0,70.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-43-08__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep6.json,nonjtc,calibrated,warm_supportive,sequence_2.json,5,4,1,85,16.75,34.0,29.785902705810344,6.0,67.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-50-52__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_1__rep8.json,nonjtc,calibrated,confidence_focused,sequence_1.json,4,3,1,84,22.0,34.0,30.854497241083024,6.0,66.0,4,nonjtc / calibrated / confidence_focused
2026-05-27T08-28-55__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep9.json,jtc,miscalibrated,warm_supportive,sequence_2.json,3,2,0,84,13.0,14.0,13.012814197295423,14.0,26.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-25-42__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_2__rep4.json,jtc,miscalibrated,brief_naturalistic,sequence_2.json,2,1,0,84,22.0,22.0,15.556349186104045,22.0,22.0,2,jtc / miscalibrated / brief_naturalistic
2026-05-27T08-41-41__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep10.json,nonjtc,calibrated,warm_supportive,sequence_1.json,5,4,1,86,17.0,34.0,29.979993328885183,6.0,68.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-44-52__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep3.json,nonjtc,calibrated,process_focused,sequence_1.json,5,4,1,84,16.5,32.0,28.705400188814647,6.0,66.0,5,nonjtc / calibrated / process_focused
2026-05-27T08-42-55__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep5.json,nonjtc,calibrated,warm_supportive,sequence_2.json,5,4,1,86,17.0,34.0,30.066592756745816,6.0,68.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-22-24__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_1__rep9.json,jtc,calibrated,confidence_focused,sequence_1.json,3,2,1,84,13.0,17.0,13.203534880225574,9.0,26.0,3,jtc / calibrated / confidence_focused
2026-05-27T08-43-37__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep8.json,nonjtc,calibrated,warm_supportive,sequence_2.json,5,4,1,84,16.5,24.0,28.08380316125293,6.0,66.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-28-37__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep7.json,jtc,miscalibrated,warm_supportive,sequence_2.json,2,1,0,74,16.0,16.0,11.313708498984761,16.0,16.0,2,jtc / miscalibrated / warm_supportive
2026-05-27T09-08-36__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep6.json,nonjtc,miscalibrated,confidence_focused,sequence_1.json,5,4,1,88,17.5,30.0,29.57701810527897,10.0,70.0,5,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-28-22__openai_gpt_5_4__jtc__miscalibrated__warm_supportive__sequence_2__rep5.json,jtc,miscalibrated,warm_supportive,sequence_2.json,3,2,0,84,13.0,18.0,13.316656236958787,18.0,26.0,3,jtc / miscalibrated / warm_supportive
2026-05-27T08-18-18__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_1__rep1.json,jtc,calibrated,process_focused,sequence_1.json,3,2,1,86,14.0,24.0,15.14375558880073,4.0,28.0,3,jtc / calibrated / process_focused
2026-05-27T08-32-24__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep3.json,jtc,miscalibrated,confidence_focused,sequence_1.json,3,2,1,86,14.0,14.0,14.0,14.0,28.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T09-02-10__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_2__rep6.json,nonjtc,miscalibrated,warm_supportive,sequence_2.json,5,4,1,86,17.0,34.0,30.066592756745816,6.0,68.0,5,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-59-38__openai_gpt_5_4__nonjtc__miscalibrated__warm_supportive__sequence_1__rep5.json,nonjtc,miscalibrated,warm_supportive,sequence_1.json,4,3,1,83,21.666666666666668,41.0,29.33001875212493,6.0,65.0,4,nonjtc / miscalibrated / warm_supportive
2026-05-27T08-30-37__openai_gpt_5_4__jtc__miscalibrated__process_focused__sequence_1__rep10.json,jtc,miscalibrated,process_focused,sequence_1.json,3,2,1,91,16.5,18.0,16.522711641858304,18.0,33.0,3,jtc / miscalibrated / process_focused
2026-05-27T08-54-11__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep10.json,nonjtc,calibrated,confidence_focused,sequence_2.json,6,5,1,88,14.0,22.0,28.823601440486232,6.0,70.0,6,nonjtc / calibrated / confidence_focused
2026-05-27T08-32-48__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_1__rep6.json,jtc,miscalibrated,confidence_focused,sequence_1.json,3,2,1,90,16.0,20.0,16.165807537309522,20.0,32.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T08-23-23__openai_gpt_5_4__jtc__calibrated__confidence_focused__sequence_2__rep6.json,jtc,calibrated,confidence_focused,sequence_2.json,3,2,1,84,11.0,16.0,11.372481406154654,6.0,22.0,3,jtc / calibrated / confidence_focused
2026-05-27T08-38-16__openai_gpt_5_4__nonjtc__calibrated__brief_naturalistic__sequence_2__rep5.json,nonjtc,calibrated,brief_naturalistic,sequence_2.json,5,4,1,83,16.25,21.0,27.120103244641236,6.0,65.0,5,nonjtc / calibrated / brief_naturalistic
2026-05-27T08-41-16__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_1__rep8.json,nonjtc,calibrated,warm_supportive,sequence_1.json,4,3,1,83,21.666666666666668,34.0,30.445306151633073,6.0,65.0,4,nonjtc / calibrated / warm_supportive
2026-05-27T08-34-12__openai_gpt_5_4__jtc__miscalibrated__confidence_focused__sequence_2__rep6.json,jtc,miscalibrated,confidence_focused,sequence_2.json,3,2,1,83,12.5,16.0,12.662279942148386,16.0,25.0,3,jtc / miscalibrated / confidence_focused
2026-05-27T08-52-03__openai_gpt_5_4__nonjtc__calibrated__confidence_focused__sequence_2__rep2.json,nonjtc,calibrated,confidence_focused,sequence_2.json,6,5,1,87,13.8,22.0,28.5756306433763,6.0,69.0,6,nonjtc / calibrated / confidence_focused
2026-05-27T08-54-49__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep3.json,nonjtc,miscalibrated,brief_naturalistic,sequence_1.json,5,4,1,86,17.0,32.0,29.072323608545638,10.0,68.0,5,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-15-05__openai_gpt_5_4__jtc__calibrated__brief_naturalistic__sequence_2__rep7.json,jtc,calibrated,brief_naturalistic,sequence_2.json,4,3,1,88,14.0,24.0,16.522711641858304,-6.0,36.0,4,jtc / calibrated / brief_naturalistic
2026-05-27T09-08-51__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep7.json,nonjtc,miscalibrated,confidence_focused,sequence_1.json,5,4,1,84,16.5,29.0,27.622454633866266,10.0,66.0,5,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-20-21__openai_gpt_5_4__jtc__calibrated__process_focused__sequence_2__rep5.json,jtc,calibrated,process_focused,sequence_2.json,3,2,1,82,12.0,14.0,12.055427546683417,10.0,24.0,3,jtc / calibrated / process_focused
2026-05-27T09-07-44__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_1__rep2.json,nonjtc,miscalibrated,confidence_focused,sequence_1.json,5,4,1,87,17.25,40.0,30.21258016125071,10.0,69.0,5,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-56-24__openai_gpt_5_4__nonjtc__miscalibrated__brief_naturalistic__sequence_1__rep10.json,nonjtc,miscalibrated,brief_naturalistic,sequence_1.json,5,4,1,90,18.0,28.0,31.016124838541646,10.0,72.0,5,nonjtc / miscalibrated / brief_naturalistic
2026-05-27T08-15-37__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep1.json,jtc,calibrated,warm_supportive,sequence_1.json,3,2,1,86,14.0,18.0,14.189197769195175,10.0,28.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-45-17__openai_gpt_5_4__nonjtc__calibrated__process_focused__sequence_1__rep5.json,nonjtc,calibrated,process_focused,sequence_1.json,4,3,1,83,21.666666666666668,34.0,30.445306151633073,6.0,65.0,4,nonjtc / calibrated / process_focused
2026-05-27T10-03-19__openai_gpt_5_4__nonjtc__miscalibrated__confidence_focused__sequence_2__rep10.json,nonjtc,miscalibrated,confidence_focused,sequence_2.json,4,3,1,84,22.0,33.0,30.357591033106257,10.0,66.0,4,nonjtc / miscalibrated / confidence_focused
2026-05-27T08-43-52__openai_gpt_5_4__nonjtc__calibrated__warm_supportive__sequence_2__rep9.json,nonjtc,calibrated,warm_supportive,sequence_2.json,5,4,1,86,17.0,34.0,30.44339008717656,6.0,68.0,5,nonjtc / calibrated / warm_supportive
2026-05-27T08-16-24__openai_gpt_5_4__jtc__calibrated__warm_supportive__sequence_1__rep7.json,jtc,calibrated,warm_supportive,sequence_1.json,3,2,1,86,14.0,14.0,14.0,14.0,28.0,3,jtc / calibrated / warm_supportive
2026-05-27T08-24-06__openai_gpt_5_4__jtc__miscalibrated__brief_naturalistic__sequence_1__rep1.json,jtc,miscalibrated,brief_naturalistic,sequence_1.json,3,2,1,88,15.0,16.0,15.01110699893027,14.0,30.0,3,jtc / miscalibrated / brief_naturalistic
